ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,SHAPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000302,92.6,182.9,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{E27A961D-179F-4958-BF07-01963232F947},8893,2023,,377665,,{2E747072-9959-4ECF-8B43-A089038F2F5C},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,92.6,182.9,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{E27A961D-179F-4958-BF07-01963232F947},8893,2023,,377666,,{6E109DA0-1BD0-4A4B-90C4-7643E4BD9DB5},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,92.6,182.9,2023/08/17 04:00:00+00,2023/08/17 04:00:00+00,{E27A961D-179F-4958-BF07-01963232F947},8893,2023,,377667,,{783C60B5-723C-4D21-BE59-C5BE504234A9},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,92.6,182.9,2023/08/17 04:00:00+00,2023/08/30 04:00:00+00,{E27A961D-179F-4958-BF07-01963232F947},8893,2023,,377668,,{33529B97-2386-44E8-BAA6-243C6CCCAED6},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,92.6,182.9,2023/08/30 04:00:00+00,,{E27A961D-179F-4958-BF07-01963232F947},8893,2023,,377669,,{5E07E00C-114D-474D-9F61-11A988AD5579},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,182.9,254.5,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{34BB7295-D11C-4DAD-ACA2-5E424F7F65A4},17923,2023,,377670,,{9822AF22-D06A-4232-98CE-CE1AED24B769},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,182.9,254.5,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{34BB7295-D11C-4DAD-ACA2-5E424F7F65A4},17923,2023,,377671,,{AE8BA5B5-402F-447F-8257-21E5731B4728},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,182.9,254.5,2023/08/17 04:00:00+00,2023/08/17 04:00:00+00,{34BB7295-D11C-4DAD-ACA2-5E424F7F65A4},17923,2023,,377672,,{5F6452BF-5687-42F0-A95B-EF8E2DD19EBB},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,182.9,254.5,2023/08/17 04:00:00+00,2023/08/30 04:00:00+00,{34BB7295-D11C-4DAD-ACA2-5E424F7F65A4},17923,2023,,377673,,{E38994DF-7FD1-4AF7-AD33-CCB52210B853},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,182.9,254.5,2023/08/30 04:00:00+00,,{34BB7295-D11C-4DAD-ACA2-5E424F7F65A4},17923,2023,,377674,,{3E8398B4-F4B7-4B3A-9801-7409D8A77C22},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,254.5,420.7,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{CFC8F58C-250F-460E-AB95-81ED30355BF0},17923,2023,,377675,,{CAE6457B-D0B3-40CD-8BCA-D683092C3FAD},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,254.5,420.7,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{CFC8F58C-250F-460E-AB95-81ED30355BF0},17923,2023,,377676,,{746F9D8C-0A7D-466B-881C-623E8A747B73},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
